x,y,z,t,label,comment
-26.5,-42.5,-35.5,0,0,nan
-25.5,-39.5,-35.5,0,1,nan
-24.5,-36.5,-35.5,0,2,nan
-23.5,-33.5,-34.5,0,3,nan
-22.5,-30.5,-34.5,0,4,nan
-21.5,-27.5,-32.5,0,5,nan
-18.5,-25.5,-31.5,0,6,nan
-16.5,-22.5,-29.5,0,7,nan
-13.5,-19.5,-28.5,0,8,nan
-11.5,-17.5,-27.5,0,9,nan
-9.5,-14.5,-25.5,0,10,nan
-7.5,-11.5,-24.5,0,11,nan
